,label,sentence
3674,sadness,"at a lack of love of my father for my mum , sadness for him more than anyone else because he does not realise how much love and happiness there could be between them , and is , and how much he is damaging himself apart from mum"
3675,disgust,"i was disgusted with my brother ' s behaviour when he kept throwing things away because of his anger , after mum had shouted at him"
3676,fear,finding out that i made a stupid mistake in the examn
3677,fear,"one evening i saw the old guard man i knew , change into something inhuman for about 5 10 seconds , this really frightened me"
3678,joy,when i understood that i was admitted to the university
3679,shame,when i was ten years old a classmate laughed at me because i had told him that my father had retired
3680,anger,"when i was studying in the library preparing for a test , two people sitting next to me talked to each other for 20 minutes there were no other seats so i could not go elsewhere and i did not want to interrupt them , so i could only be angry in my heart"
3681,sadness,my best friend had failed exams she had to leave and so we got separated
3682,anger,when i was a soldier i quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights naturally he checked me up on the second night and found me asleep for which he sent me to the cells
3683,sadness,when i did bad on a chamistry midterm which i could have done well
3684,joy,when i won my car
3685,shame,did not finish homework
3686,fear,was nearly knocked down by a car
3687,sadness,"estrangement from my best woman friend we have been going different ways for quite some time now , but the break was total when she got married as her husband is unreasonably jealous of me"
3688,sadness,close relative is dying of cancer found out last week
3689,anger,when my mother and father split up i was angry i felt deprived and different from other children at school
3690,sadness,i was very sad when i heard about the death of my teacher who taught me in standard 8
3691,anger,"when i was doing my last year at secondary school i was robbed of my clothes , wristwatch and my pair of shoes after investigations it was found that all the things were stolen by one of the boys in our hostel"
3692,disgust,"a drunkard fell , started bleeding and wet himself disgust that turned into sadness unpleasantness"
3693,fear,"when riding in a very fastly driven car on a lose metal road at a very late hour no other cars on road , and driver was taking corners very sharply i felt afraid because if an accident happened , the area was very isolated also , i feared for driver , after i was dropped off would he make it home safely"
